ID	fileName	fileNamePE	experiment	tissue	condition	replicate	lane	merge	input	pairedEnd	macsGroup	phredScore	adapter	trimQuality	adapterPE	trimQualityPE
SRR2084571			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		4	SRX1078886	input	false						
SRR2084548			SRP060227	MCF7 -;- breast cancer cell line	Input_shSCR_MCF7_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078881	input	false						
SRR2084549			SRP060227	MCF7 -;- breast cancer cell line	Input_shSCR_MCF7_ChIPSeq; Homo sapiens; ChIP-Seq		3	SRX1078881	input	false						
SRR2084550			SRP060227	MCF7 -;- breast cancer cell line	Input_shSCR_MCF7_ChIPSeq; Homo sapiens; ChIP-Seq		1	SRX1078881	input	false						
SRR2084551			SRP060227	MCF7 -;- breast cancer cell line	Input_shSCR_MCF7_ChIPSeq; Homo sapiens; ChIP-Seq		4	SRX1078881	input	false						
SRR2084537			SRP060227	HCT116 -;- colorectal cancer cell line	PAF1_WT_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078876	N	false						
SRR2084538			SRP060227	HCT116 -;- colorectal cancer cell line	PAF1_WT_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		3	SRX1078876	N	false						
SRR2084539			SRP060227	HCT116 -;- colorectal cancer cell line	PAF1_WT_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		1	SRX1078876	N	false						
SRR2084474			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		4	SRX1078857	input	false						
SRR2084475			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078857	input	false						
SRR2084476			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		3	SRX1078857	input	false						
SRR2084477			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		1	SRX1078857	input	false						
SRR2084481			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq		3	SRX1078859	input	false						
SRR2084482			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq		1	SRX1078859	input	false						
SRR2084483			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078859	input	false						
SRR2084478			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078858	input	false						
SRR2084479			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq		1	SRX1078858	input	false						
SRR2084480			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq		3	SRX1078858	input	false						
SRR2084468			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078855	input	false						
SRR2084469			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq		3	SRX1078855	input	false						
SRR2084470			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq		1	SRX1078855	input	false						
SRR2084471			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078856	input	false						
SRR2084472			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		1	SRX1078856	input	false						
SRR2084473			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		3	SRX1078856	input	false						
SRR2084465			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078854	input	false						
SRR2084466			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq		1	SRX1078854	input	false						
SRR2084467			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq		3	SRX1078854	input	false						
SRR2084461			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		1	SRX1078853	input	false						
SRR2084462			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078853	input	false						
SRR2084463			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		4	SRX1078853	input	false						
SRR2084464			SRP060227	HCT116 -;- colorectal cancer cell line	Input_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq		3	SRX1078853	input	false						
SRR2225451			SRP063051	Input for ChIP107.H3K4me3_siNS and ChIP108.H3_siNS -;- C2C12	ChIP109.Input_siNS; Mus musculus; ChIP-Seq		1		input	false						
SRR2225448			SRP063051	Input for ChIP104.H3K4me3_siSki8 and ChIP105.H3_siSki8 -;- C2C12	ChIP106.Input_siSki8; Mus musculus; ChIP-Seq		1		input	false						
SRR2225445			SRP063051	Input forChIP102.H3K36me3_siNS -;- C2C12	ChIP103.Input_siNS; Mus musculus; ChIP-Seq		1		input	false						
SRR2225443			SRP063051	Input for ChIP100.H3K36me3_siSki8 -;- C2C12	ChIP101.Input_siSki8; Mus musculus; ChIP-Seq		1		input	false						
SRR2225441			SRP063051	Input for ChIP094.PolIICTD_siNS -;- C2C12	ChIP095.Input_siNS; Mus musculus; ChIP-Seq		1		input	false						
SRR2225439			SRP063051	Input for ChIP091.PolIICTD_siSki8 -;- C2C12	ChIP092.Input_siSki8; Mus musculus; ChIP-Seq		1		input	false						
SRR2225437			SRP063051	Input for ChIP087.H3K4me3_siNS and ChIP088.H3_siNS -;- C2C12	ChIP089.Input_siNS; Mus musculus; ChIP-Seq		1		input	false						
SRR2225434			SRP063051	Input for ChIP084.H3K4me3_siPaf1 and ChIP085.H3_siPaf1 -;- C2C12	ChIP086.Input_siPaf1; Mus musculus; ChIP-Seq		1		input	false						
SRR2225431			SRP063051	Input for ChIP082.H3K36me3_siNS -;- C2C12	ChIP083.Input_siNS; Mus musculus; ChIP-Seq		1		input	false						
SRR2225429			SRP063051	Input for ChIP080.H3K36me3_siPaf1 -;- C2C12	ChIP081.Input_siPaf1; Mus musculus; ChIP-Seq		1		input	false						
SRR2225427			SRP063051	Input for PolIICTD_siNS -;- C2C12	Input_siNS.8; Mus musculus; ChIP-Seq		1		input	false						
SRR2225425			SRP063051	Input for PolIICTD_siPaf1 -;- C2C12	Input_siPaf1.6; Mus musculus; ChIP-Seq		1		input	false						
SRR2225421			SRP063051	Input for ChIP-seq Ski8MT -;- C2C12	Ski8MT_Input; Mus musculus; ChIP-Seq		2	SRX1176744	input	false						
SRR2225422			SRP063051	Input for ChIP-seq Ski8MT -;- C2C12	Ski8MT_Input; Mus musculus; ChIP-Seq		1	SRX1176744	input	false						
SRR2225423			SRP063051	Input for ChIP-seq Ski8MT -;- C2C12	Ski8MT_Input; Mus musculus; ChIP-Seq		3	SRX1176744	input	false						
SRR2225415			SRP063051	Input for ChIP-seq Ski8MB -;- C2C12	Ski8MB_Input; Mus musculus; ChIP-Seq		3	SRX1176742	input	false						
SRR2225416			SRP063051	Input for ChIP-seq Ski8MB -;- C2C12	Ski8MB_Input; Mus musculus; ChIP-Seq		1	SRX1176742	input	false						
SRR2225417			SRP063051	Input for ChIP-seq Ski8MB -;- C2C12	Ski8MB_Input; Mus musculus; ChIP-Seq		2	SRX1176742	input	false						
SRR2225409			SRP063051	Input for ChIP-seq Rtf1MT -;- C2C12	Rtf1MT_Input; Mus musculus; ChIP-Seq		2	SRX1176740	input	false						
SRR2225410			SRP063051	Input for ChIP-seq Rtf1MT -;- C2C12	Rtf1MT_Input; Mus musculus; ChIP-Seq		3	SRX1176740	input	false						
SRR2225411			SRP063051	Input for ChIP-seq Rtf1MT -;- C2C12	Rtf1MT_Input; Mus musculus; ChIP-Seq		1	SRX1176740	input	false						
SRR2225403			SRP063051	Input for ChIP-seq Rtf1MB -;- C2C12	Rtf1MB_Input; Mus musculus; ChIP-Seq		3	SRX1176738	input	false						
SRR2225404			SRP063051	Input for ChIP-seq Rtf1MB -;- C2C12	Rtf1MB_Input; Mus musculus; ChIP-Seq		2	SRX1176738	input	false						
SRR2225405			SRP063051	Input for ChIP-seq Rtf1MB -;- C2C12	Rtf1MB_Input; Mus musculus; ChIP-Seq		1	SRX1176738	input	false						
SRR2225396			SRP063051	ChIP-seq Paf1MT -;- C2C12	Paf1MT; Mus musculus; ChIP-Seq		2	SRX1176735	N	false						
SRR2225397			SRP063051	ChIP-seq Paf1MT -;- C2C12	Paf1MT; Mus musculus; ChIP-Seq		1	SRX1176735	N	false						
SRR2225398			SRP063051	Input for ChIP-seq Paf1MT -;- C2C12	Paf1MT_Input; Mus musculus; ChIP-Seq		2	SRX1176736	input	false						
SRR2225399			SRP063051	Input for ChIP-seq Paf1MT -;- C2C12	Paf1MT_Input; Mus musculus; ChIP-Seq		1	SRX1176736	input	false						
SRR2225394			SRP063051	Input for ChIP-seq Paf1MB -;- C2C12	Paf1MB_Input; Mus musculus; ChIP-Seq		1	SRX1176734	input	false						
SRR2225395			SRP063051	Input for ChIP-seq Paf1MB -;- C2C12	Paf1MB_Input; Mus musculus; ChIP-Seq		2	SRX1176734	input	false						
SRR2225392			SRP063051	ChIP-seq Paf1MB -;- C2C12	Paf1MB; Mus musculus; ChIP-Seq		2	SRX1176733	N	false						
SRR2225393			SRP063051	ChIP-seq Paf1MB -;- C2C12	Paf1MB; Mus musculus; ChIP-Seq		1	SRX1176733	N	false						
SRR2225390			SRP063051	Input for ChIP-seq Leo1MT -;- C2C12	Leo1MT_Input; Mus musculus; ChIP-Seq		1	SRX1176732	input	false						
SRR2225391			SRP063051	Input for ChIP-seq Leo1MT -;- C2C12	Leo1MT_Input; Mus musculus; ChIP-Seq		2	SRX1176732	input	false						
SRR2225386			SRP063051	Input for ChIP-seq Leo1MB -;- C2C12	Leo1MB_Input; Mus musculus; ChIP-Seq		1	SRX1176730	input	false						
SRR2225387			SRP063051	Input for ChIP-seq Leo1MB -;- C2C12	Leo1MB_Input; Mus musculus; ChIP-Seq		2	SRX1176730	input	false						
SRR2225381			SRP063051	Input for ChIP-seq Ctr9MT -;- C2C12	Ctr9MT_Input; Mus musculus; ChIP-Seq		2	SRX1176728	input	false						
SRR2225382			SRP063051	Input for ChIP-seq Ctr9MT -;- C2C12	Ctr9MT_Input; Mus musculus; ChIP-Seq		1	SRX1176728	input	false						
SRR2225383			SRP063051	Input for ChIP-seq Ctr9MT -;- C2C12	Ctr9MT_Input; Mus musculus; ChIP-Seq		3	SRX1176728	input	false						
SRR2225375			SRP063051	Input for ChIP-seq Ctr9MB -;- C2C12	Ctr9MB_Input; Mus musculus; ChIP-Seq		2	SRX1176725	input	false						
SRR2225376			SRP063051	Input for ChIP-seq Ctr9MB -;- C2C12	Ctr9MB_Input; Mus musculus; ChIP-Seq		3	SRX1176725	input	false						
SRR2225377			SRP063051	Input for ChIP-seq Ctr9MB -;- C2C12	Ctr9MB_Input; Mus musculus; ChIP-Seq		1	SRX1176725	input	false						
SRR2225370			SRP063051	Input for ChIP-seq Cdc73MT -;- C2C12	Cdc73MT_Input; Mus musculus; ChIP-Seq		1	SRX1176723	input	false						
SRR2225371			SRP063051	Input for ChIP-seq Cdc73MT -;- C2C12	Cdc73MT_Input; Mus musculus; ChIP-Seq		2	SRX1176723	input	false						
SRR2225366			SRP063051	Input for ChIP-seq Cdc73MB -;- C2C12	Cdc73MB_Input; Mus musculus; ChIP-Seq		2	SRX1176721	input	false						
SRR2225367			SRP063051	Input for ChIP-seq Cdc73MB -;- C2C12	Cdc73MB_Input; Mus musculus; ChIP-Seq		1	SRX1176721	input	false						
SRR2518149			SRP064197	C57BL/6 X 129/Sv -;- ESC shPhf5a WITH LIF -;- mouse embryonic stem cells -;- KH2	ChIP-Seq analysis of Paf1 in mouse ESCs under shPhf5a knockdown treatment replicate 3; Mus musculus; ChIP-Seq		1		N	false						
SRR2518148			SRP064197	C57BL/6 X 129/Sv -;- ESC shPhf5a WITH LIF -;- mouse embryonic stem cells -;- KH2	ChIP-Seq analysis of Paf1 in mouse ESCs under shPhf5a knockdown treatment replicate 2; Mus musculus; ChIP-Seq		1		N	false						
SRR2518147			SRP064197	C57BL/6 X 129/Sv -;- ESC shPhf5a WITH LIF -;- mouse embryonic stem cells -;- KH2	ChIP-Seq analysis of Paf1 in mouse ESCs under shPhf5a knockdown treatment replicate 1; Mus musculus; ChIP-Seq		1		N	false						
SRR2518146			SRP064197	C57BL/6 X 129/Sv -;- ESC shControl WITH LIF -;- mouse embryonic stem cells -;- KH2	ChIP-Seq analysis of Paf1 in mouse ESCs under shControl knockdown treatment replicate 3; Mus musculus; ChIP-Seq		1		input	false						
SRR2518145			SRP064197	C57BL/6 X 129/Sv -;- ESC shControl WITH LIF -;- mouse embryonic stem cells -;- KH2	ChIP-Seq analysis of Paf1 in mouse ESCs under shControl knockdown treatment replicate 2; Mus musculus; ChIP-Seq		1		input	false						
SRR2518144			SRP064197	C57BL/6 X 129/Sv -;- ESC shControl WITH LIF -;- mouse embryonic stem cells -;- KH2	ChIP-Seq analysis of Paf1 in mouse ESCs under shControl knockdown treatment replicate 1; Mus musculus; ChIP-Seq		1		input	false						
SRR4101213			SRP064197	ESC shControl WITH LIF -;- mouse embryonic stem cells	ChIP-Seq analysis of Leo1 in mouse ESCs under shControl knockdown treatment replicate 1; Mus musculus; ChIP-Seq		1		input	false						
SRR4101214			SRP064197	ESC shControl WITH LIF -;- mouse embryonic stem cells	ChIP-Seq analysis of Leo1 in mouse ESCs under shControl knockdown treatment replicate 2; Mus musculus; ChIP-Seq		1		input	false						
SRR4101215			SRP064197	ESC shControl WITH LIF -;- mouse embryonic stem cells	ChIP-Seq analysis of Cdc73 in mouse ESCs under shControl knockdown treatment replicate 1; Mus musculus; ChIP-Seq		1		input	false						
SRR4101216			SRP064197	ESC shControl WITH LIF -;- mouse embryonic stem cells	ChIP-Seq analysis of Cdc73 in mouse ESCs under shControl knockdown treatment replicate 2; Mus musculus; ChIP-Seq		1		input	false						
SRR3714022			SRP077016	Leukemia cell line (SEM) -;- Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation -;- Leukemia cell line; SEM	SEM_H3K36me3_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714024			SRP077016	Leukemia cell line (SEM) -;- Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation -;- Leukemia cell line; SEM	SEM_BioCAP_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714026			SRP077016	Leukemia cell line (SEM) -;- Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation -;- Leukemia cell line; SEM	SEM_KDM2B_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714028			SRP077016	Leukemia cell line (SEM) -;- Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation -;- Leukemia cell line; SEM	SEM_BRD4_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714030			SRP077016	Leukemia cell line (SEM) -;- Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation -;- Leukemia cell line; SEM	SEM_MED1_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714032			SRP077016	Leukemia cell line (SEM) -;- Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation -;- Leukemia cell line; SEM	SEM_Menin_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714033			SRP077016	Leukemia cell line (SEM) -;- Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation -;- Leukemia cell line; SEM	SEM_PAF1_ChIPSeq; Homo sapiens; ChIP-Seq		1		N	true						
SRR3714040			SRP077016	Leukemia cell line (ML-2) -;- Adult monocytic cell line derived from AML M4 with t(6;11)(q27;q23) translocation -;- Leukemia cell line; ML-2	ML2_H3K79me2_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714042			SRP077016	Leukemia cell line (ML-2) -;- Adult monocytic cell line derived from AML M4 with t(6;11)(q27;q23) translocation -;- Leukemia cell line; ML-2	ML2_MLL_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714044			SRP077016	Leukemia cell line (THP-1) -;- Paediatric monocytic cell line derived from AML M5 with t(9;11)(p21;q23) translocation -;- Leukemia cell line; THP-1	THP1_MLL_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714046			SRP077016	Leukemia cell line (KOPN-8) -;- Infant pre B-cell line derived from ALL with t(11;19)(q23;p13) translocation -;- Leukemia cell line; KOPN-8	KOPN8_MLL_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714048			SRP077016	Leukemia cell line (MV4-11) -;- Paediatric monocytic cell line derived from AML M5 with t(4;11)(q21;q23) translocation -;- Leukemia cell line; MV4-11	MV411_MLL_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714050			SRP077016	Leukemia cell line (CCRF-CEM) -;- Paediatric immature T-cell line derived from ALL with t(5;14)(q35.1;q32.2) -;- Leukemia cell line; CCRF-CEM	CCRF_MLL_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR3714052			SRP077016	Leukemia cell line (RCH-ACV) -;- Paediatric pre B-cell line derived from cALL with t(1;19)(q23;p13) translocation -;- Leukemia cell line; RCH-ACV	RCH_MLL_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR4477600			SRP077016	Leukemia cell line (SEM) -;- Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation	SEM_MLL_Replicate_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR4477603			SRP077016	Leukemia cell line (SEM) -;- Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation	SEM_siControl_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR4477606			SRP077016	Leukemia cell line (SEM) -;- Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation	SEM_siMLL-AF4_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR4477609			SRP077016	L826 -;- Presentation ALL patient sample engrafred in mice and harvested from spleen	PT_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR4477611			SRP077016	Cord blood -;- Mononuclear cells from full-term cord blood	CB_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
SRR4477614			SRP077016	Fetal bone marrow -;- Mononuclear cells from second trimester human fetal bone marrow	FBM_InputDNA; Homo sapiens; ChIP-Seq		1		input	true						
