run_accession	experiment_accession	sample_accession	study_accession	sample	series_id	library_strategy	platform	library_layout	pairedEnd	taxon_id	sample_name	experiment_title	experiment_name	sample_attribute	characteristics_ch1	sa_tissue	ch1_tissue	sa_antibody	ch1_antibody	sa_gene	ch1_gene	sa_treatment	ch1_treatment
SRR099052	SRX041329	SRS172201	SRP005649	GSM671415	GSE27161	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM671415: IL21_STAT3_ChIPSeq	IL21_STAT3_ChIPSeq	GSM671415: IL21_STAT3_ChIPSeq	source_name: Dendritic Cell in Spleen || antibody: Invtrogen, monoclonal antibody ST3-5G7 || cell type: Dendritic Cell || strain: C57BL/6 || treatment: IL21	antibody: Invtrogen, monoclonal antibody ST3-5G7 || cell type: Dendritic Cell || strain: C57BL/6 || treatment: IL21	C57BL/6 -;- Dendritic Cell in Spleen	Dendritic Cell	Invtrogen, monoclonal antibody ST3-5G7	Invtrogen, monoclonal antibody ST3-5G7	NA	NA	IL21	IL21
SRR099053	SRX041330	SRS172202	SRP005649	GSM671416	GSE27161	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM671416: IL21+GMCSF_STAT3_ChIPSeq	IL21+GMCSF_STAT3_ChIPSeq	GSM671416: IL21+GMCSF_STAT3_ChIPSeq	source_name: Dendritic Cell in Spleen || antibody: Invtrogen, monoclonal antibody ST3-5G7 || cell type: Dendritic Cell || strain: C57BL/6 || treatment: IL-21 and GM-CSF	antibody: Invtrogen, monoclonal antibody ST3-5G7 || cell type: Dendritic Cell || strain: C57BL/6 || treatment: IL-21 and GM-CSF	C57BL/6 -;- Dendritic Cell in Spleen	Dendritic Cell	Invtrogen, monoclonal antibody ST3-5G7	Invtrogen, monoclonal antibody ST3-5G7	NA	NA	IL-21 and GM-CSF	IL-21 and GM-CSF
SRR332191	SRX092402	SRS258092	SRP007865	GSM782663	GSE31529,GSE31531	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM782663: PEC_Untreated_STAT3_ChIPseq	PEC_Untreated_STAT3_ChIPseq	GSM782663: PEC_Untreated_STAT3_ChIPseq	source_name: ChIP in untreated macrophages against STAT3 || strain: C57BL/6JJcl || sex: Male || cell type: Adherent peritoneal exudate macrophages || chip antibody: anti-STAT3 (Santa Cruz sc-482)	strain: C57BL/6JJcl || gender: Male || cell type: Adherent peritoneal exudate macrophages || chip antibody: anti-STAT3 (Santa Cruz sc-482)	C57BL/6JJcl -;- ChIP in untreated macrophages against STAT3 -;- Adherent peritoneal exudate macrophages	Adherent peritoneal exudate macrophages	anti-STAT3 (Santa Cruz sc-482)	anti-STAT3 (Santa Cruz sc-482)	NA	NA	NA	NA
SRR332192	SRX092403	SRS258093	SRP007865	GSM782664	GSE31529,GSE31531	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM782664: PEC_IL10-treated_STAT3_ChIPseq	PEC_IL10-treated_STAT3_ChIPseq	GSM782664: PEC_IL10-treated_STAT3_ChIPseq	source_name: ChIP in IL-10 treated (4 hours) macrophages against STAT3 || strain: C57BL/6JJcl || sex: Male || cell type: Adherent peritoneal exudate macrophages || chip antibody: anti-STAT3 (Santa Cruz sc-482)	strain: C57BL/6JJcl || gender: Male || cell type: Adherent peritoneal exudate macrophages || chip antibody: anti-STAT3 (Santa Cruz sc-482)	C57BL/6JJcl -;- ChIP in IL-10 treated (4 hours) macrophages against STAT3 -;- Adherent peritoneal exudate macrophages	Adherent peritoneal exudate macrophages	anti-STAT3 (Santa Cruz sc-482)	anti-STAT3 (Santa Cruz sc-482)	NA	NA	NA	NA
SRR332193	SRX092404	SRS258094	SRP007865	GSM782665	GSE31529,GSE31531	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM782665: PEC_Untreated_Input_ChIPseq	PEC_Untreated_Input_ChIPseq	GSM782665: PEC_Untreated_Input_ChIPseq	source_name: Input chromatin from untreated macrophages || strain: C57BL/6JJcl || sex: Male || cell type: Adherent peritoneal exudate macrophages || chip antibody: None	strain: C57BL/6JJcl || gender: Male || cell type: Adherent peritoneal exudate macrophages || chip antibody: None	C57BL/6JJcl -;- Input chromatin from untreated macrophages -;- Adherent peritoneal exudate macrophages	Adherent peritoneal exudate macrophages	None	None	NA	NA	NA	NA
SRR332194	SRX092405	SRS258095	SRP007865	GSM782666	GSE31529,GSE31531	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM782666: PEC_IL10-treated_Input_ChIPseq	PEC_IL10-treated_Input_ChIPseq	GSM782666: PEC_IL10-treated_Input_ChIPseq	source_name: Input chromatin from IL-10 treated (4 hours) macrophages || strain: C57BL/6JJcl || sex: Male || cell type: Adherent peritoneal exudate macrophages || chip antibody: None	strain: C57BL/6JJcl || gender: Male || cell type: Adherent peritoneal exudate macrophages || chip antibody: None	C57BL/6JJcl -;- Input chromatin from IL-10 treated (4 hours) macrophages -;- Adherent peritoneal exudate macrophages	Adherent peritoneal exudate macrophages	None	None	NA	NA	NA	NA
SRR353505	SRX101308	SRS267160	SRP007993	GSM817342	GSE31477	ChIP-Seq	ILLUMINA	SINGLE - 	false	9606	GSM817342: Yale_ChipSeq_HeLa-S3_Input_std	Yale_ChipSeq_HeLa-S3_Input_std	NA	source_name: HeLa-S3 || biomaterial_provider: ATCC || lab: Yale || lab description: Snyder - Yale University || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HeLa-S3 || cell organism: human || cell description: cervical carcinoma || cell karyotype: cancer || cell lineage: ectoderm || cell sex: F || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: std || control description: Standard input signal for most experiments. || control: std || control description: Standard input signal for most experiments. || controlid: wgEncodeEH000612 || labversion: remapped from hg18 || replicate: 1	lab: Yale || lab description: Snyder - Yale University || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HeLa-S3 || cell organism: human || cell description: cervical carcinoma || cell karyotype: cancer || cell lineage: ectoderm || cell sex: F || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: std || control description: Standard input signal for most experiments. || control: std || control description: Standard input signal for most experiments. || controlid: wgEncodeEH000612 || labversion: remapped from hg18 || replicate: 1	HeLa-S3 -;- cervical carcinoma -;- ectoderm	NA	Input	Input	NA	NA	None -;- No special treatment or protocol applies	None
SRR353506	SRX101309	SRS267161	SRP007993	GSM817343	GSE31477	ChIP-Seq	ILLUMINA	SINGLE - 	false	9606	GSM817343: USC_ChipSeq_HepG2_Input_UCDavis	USC_ChipSeq_HepG2_Input_UCDavis	GSM817343: USC_ChipSeq_HepG2_Input_UCDavis	source_name: HepG2 || biomaterial_provider: ATCC || lab: USC || lab description: Farnham - University of Southern California || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HepG2 || cell organism: human || cell description: hepatocellular carcinoma || cell karyotype: cancer || cell lineage: endoderm || cell sex: M || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: UCDavis || control description: Input library was prepared at UC Davis. || control: UCDavis || control description: Input library was prepared at UC Davis. || controlid: wgEncodeEH000674 || labversion: remapped from hg18 || replicate: 1	lab: USC || lab description: Farnham - University of Southern California || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HepG2 || cell organism: human || cell description: hepatocellular carcinoma || cell karyotype: cancer || cell lineage: endoderm || cell sex: M || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: UCDavis || control description: Input library was prepared at UC Davis. || control: UCDavis || control description: Input library was prepared at UC Davis. || controlid: wgEncodeEH000674 || labversion: remapped from hg18 || replicate: 1	HepG2 -;- hepatocellular carcinoma -;- endoderm	NA	Input	Input	NA	NA	None -;- No special treatment or protocol applies	None
SRR353507	SRX101310	SRS267162	SRP007993	GSM817344	GSE31477	ChIP-Seq	ILLUMINA	SINGLE - 	false	9606	GSM817344: USC_ChipSeq_HCT-116_Input_UCDavis	USC_ChipSeq_HCT-116_Input_UCDavis	GSM817344: USC_ChipSeq_HCT-116_Input_UCDavis	source_name: HCT-116 || biomaterial_provider: ATCC || lab: USC || lab description: Farnham - University of Southern California || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HCT-116 || cell organism: human || cell description: colorectal carcinoma (PMID: 7214343) || cell karyotype: cancer || cell lineage: endoderm || cell sex: M || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: UCDavis || control description: Input library was prepared at UC Davis. || control: UCDavis || control description: Input library was prepared at UC Davis. || controlid: wgEncodeEH000627 || labversion: remapped from hg18 || replicate: 1	lab: USC || lab description: Farnham - University of Southern California || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HCT-116 || cell organism: human || cell description: colorectal carcinoma (PMID: 7214343) || cell karyotype: cancer || cell lineage: endoderm || cell sex: M || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: UCDavis || control description: Input library was prepared at UC Davis. || control: UCDavis || control description: Input library was prepared at UC Davis. || controlid: wgEncodeEH000627 || labversion: remapped from hg18 || replicate: 1	HCT-116 -;- colorectal carcinoma (PMID: 7214343) -;- endoderm	NA	Input	Input	NA	NA	None -;- No special treatment or protocol applies	None
SRR353665	SRX101464	SRS267270	SRP007993	GSM818744	GSE31477	ChIP-Seq	ILLUMINA	SINGLE - 	false	9606	GSM818744: USC_ChipSeq_HeLa-S3_Input_UCDavis	USC_ChipSeq_HeLa-S3_Input_UCDavis	GSM818744: USC_ChipSeq_HeLa-S3_Input_UCDavis	source_name: HeLa-S3 || biomaterial_provider: ATCC || lab: USC || lab description: Farnham - University of Southern California || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HeLa-S3 || cell organism: human || cell description: cervical carcinoma || cell karyotype: cancer || cell lineage: ectoderm || cell sex: F || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: UCDavis || control description: Input library was prepared at UC Davis. || control: UCDavis || control description: Input library was prepared at UC Davis. || controlid: wgEncodeEH001754	lab: USC || lab description: Farnham - University of Southern California || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HeLa-S3 || cell organism: human || cell description: cervical carcinoma || cell karyotype: cancer || cell lineage: ectoderm || cell sex: F || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: UCDavis || control description: Input library was prepared at UC Davis. || control: UCDavis || control description: Input library was prepared at UC Davis. || controlid: wgEncodeEH001754	HeLa-S3 -;- cervical carcinoma -;- ectoderm	NA	Input	Input	NA	NA	None -;- No special treatment or protocol applies	None
SRR501923	SRX150356	SRS335748	SRP007993	GSM935276	GSE31477	ChIP-Seq	ILLUMINA	SINGLE - 	false	9606	GSM935276: Stanford_ChipSeq_HeLa-S3_STAT3_IgG-rab	Stanford_ChipSeq_HeLa-S3_STAT3_IgG-rab	GSM935276: Stanford_ChipSeq_HeLa-S3_STAT3_IgG-rab	source_name: HeLa-S3 || biomaterial_provider: ATCC || lab: Stanford || lab description: Snyder - Stanford University || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HeLa-S3 || cell organism: human || cell description: cervical carcinoma || cell karyotype: cancer || cell lineage: ectoderm || cell sex: F || treatment: None || treatment description: No special treatment or protocol applies || antibody: STAT3 || antibody antibodydescription: Rabbit polyclonal; epitope mapping at the C-terminus of Stat3 of mouse origin. Antibody Target: STAT3 || antibody targetdescription: Member of STAT family. After phosphorylation in response to cytokines and growth factors (including IFNs, EGF, IL5, IL6, HGF, LIF and BMP2), forms homo- or heterodimers that translocate to nucleus and activate transcription. Activates expression of a variety of genes with roles in processes such as cell growth and apoptosis. || antibody vendorname: Santa Cruz Biotech || antibody vendorid: sc-482 || control: IgG-rab || control description: Input signal from Normal Rabbit IgG ChIP-seq. || control: IgG-rab || control description: Input signal from Normal Rabbit IgG ChIP-seq. || controlid: wgEncodeEH000744 || replicate: 1	lab: Stanford || lab description: Snyder - Stanford University || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HeLa-S3 || cell organism: human || cell description: cervical carcinoma || cell karyotype: cancer || cell lineage: ectoderm || cell sex: F || treatment: None || treatment description: No special treatment or protocol applies || antibody: STAT3 || antibody antibodydescription: Rabbit polyclonal; epitope mapping at the C-terminus of Stat3 of mouse origin. Antibody Target: STAT3 || antibody targetdescription: Member of STAT family. After phosphorylation in response to cytokines and growth factors (including IFNs, EGF, IL5, IL6, HGF, LIF and BMP2), forms homo- or heterodimers that translocate to nucleus and activate transcription. Activates expression of a variety of genes with roles in processes such as cell growth and apoptosis. || antibody vendorname: Santa Cruz Biotech || antibody vendorid: sc-482 || control: IgG-rab || control description: Input signal from Normal Rabbit IgG ChIP-seq. || control: IgG-rab || control description: Input signal from Normal Rabbit IgG ChIP-seq. || controlid: wgEncodeEH000744 || replicate: 1	HeLa-S3 -;- cervical carcinoma -;- ectoderm	NA	STAT3	STAT3	NA	NA	None -;- No special treatment or protocol applies	None
SRR501924	SRX150356	SRS335748	SRP007993	GSM935276	GSE31477	ChIP-Seq	ILLUMINA	SINGLE - 	false	9606	GSM935276: Stanford_ChipSeq_HeLa-S3_STAT3_IgG-rab	Stanford_ChipSeq_HeLa-S3_STAT3_IgG-rab	GSM935276: Stanford_ChipSeq_HeLa-S3_STAT3_IgG-rab	source_name: HeLa-S3 || biomaterial_provider: ATCC || lab: Stanford || lab description: Snyder - Stanford University || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HeLa-S3 || cell organism: human || cell description: cervical carcinoma || cell karyotype: cancer || cell lineage: ectoderm || cell sex: F || treatment: None || treatment description: No special treatment or protocol applies || antibody: STAT3 || antibody antibodydescription: Rabbit polyclonal; epitope mapping at the C-terminus of Stat3 of mouse origin. Antibody Target: STAT3 || antibody targetdescription: Member of STAT family. After phosphorylation in response to cytokines and growth factors (including IFNs, EGF, IL5, IL6, HGF, LIF and BMP2), forms homo- or heterodimers that translocate to nucleus and activate transcription. Activates expression of a variety of genes with roles in processes such as cell growth and apoptosis. || antibody vendorname: Santa Cruz Biotech || antibody vendorid: sc-482 || control: IgG-rab || control description: Input signal from Normal Rabbit IgG ChIP-seq. || control: IgG-rab || control description: Input signal from Normal Rabbit IgG ChIP-seq. || controlid: wgEncodeEH000744 || replicate: 1	lab: Stanford || lab description: Snyder - Stanford University || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: HeLa-S3 || cell organism: human || cell description: cervical carcinoma || cell karyotype: cancer || cell lineage: ectoderm || cell sex: F || treatment: None || treatment description: No special treatment or protocol applies || antibody: STAT3 || antibody antibodydescription: Rabbit polyclonal; epitope mapping at the C-terminus of Stat3 of mouse origin. Antibody Target: STAT3 || antibody targetdescription: Member of STAT family. After phosphorylation in response to cytokines and growth factors (including IFNs, EGF, IL5, IL6, HGF, LIF and BMP2), forms homo- or heterodimers that translocate to nucleus and activate transcription. Activates expression of a variety of genes with roles in processes such as cell growth and apoptosis. || antibody vendorname: Santa Cruz Biotech || antibody vendorid: sc-482 || control: IgG-rab || control description: Input signal from Normal Rabbit IgG ChIP-seq. || control: IgG-rab || control description: Input signal from Normal Rabbit IgG ChIP-seq. || controlid: wgEncodeEH000744 || replicate: 1	HeLa-S3 -;- cervical carcinoma -;- ectoderm	NA	STAT3	STAT3	NA	NA	None -;- No special treatment or protocol applies	None
SRR501944	SRX150364	SRS335756	SRP007993	GSM935284	GSE31477	ChIP-Seq	ILLUMINA	SINGLE - 	false	9606	GSM935284: Stanford_ChipSeq_GM15510_Input_IgG-mus	Stanford_ChipSeq_GM15510_Input_IgG-mus	GSM935284: Stanford_ChipSeq_GM15510_Input_IgG-mus	source_name: GM15510 || biomaterial_provider: Coriell || lab: Stanford || lab description: Snyder - Stanford University || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: GM15510 || cell organism: human || cell description: lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed || cell karyotype: normal || cell lineage: mesoderm || cell sex: U || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: IgG-mus || control description: Input signal from Normal Mouse IgG ChIP-seq. || control: IgG-mus || control description: Input signal from Normal Mouse IgG ChIP-seq. || controlid: wgEncodeEH000713 || labversion: Illumina 2.0, low confidence sequences excluded || replicate: 1	lab: Stanford || lab description: Snyder - Stanford University || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: GM15510 || cell organism: human || cell description: lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed || cell karyotype: normal || cell lineage: mesoderm || cell sex: U || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: IgG-mus || control description: Input signal from Normal Mouse IgG ChIP-seq. || control: IgG-mus || control description: Input signal from Normal Mouse IgG ChIP-seq. || controlid: wgEncodeEH000713 || labversion: Illumina 2.0, low confidence sequences excluded || replicate: 1	GM15510 -;- lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed -;- mesoderm	NA	Input	Input	NA	NA	Epstein-Barr Virus transformed -;- None -;- No special treatment or protocol applies	Epstein-Barr Virus transformed -;- None
SRR501945	SRX150364	SRS335756	SRP007993	GSM935284	GSE31477	ChIP-Seq	ILLUMINA	SINGLE - 	false	9606	GSM935284: Stanford_ChipSeq_GM15510_Input_IgG-mus	Stanford_ChipSeq_GM15510_Input_IgG-mus	GSM935284: Stanford_ChipSeq_GM15510_Input_IgG-mus	source_name: GM15510 || biomaterial_provider: Coriell || lab: Stanford || lab description: Snyder - Stanford University || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: GM15510 || cell organism: human || cell description: lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed || cell karyotype: normal || cell lineage: mesoderm || cell sex: U || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: IgG-mus || control description: Input signal from Normal Mouse IgG ChIP-seq. || control: IgG-mus || control description: Input signal from Normal Mouse IgG ChIP-seq. || controlid: wgEncodeEH000713 || labversion: Illumina 2.0, low confidence sequences excluded || replicate: 1	lab: Stanford || lab description: Snyder - Stanford University || datatype: ChipSeq || datatype description: Chromatin IP Sequencing || cell: GM15510 || cell organism: human || cell description: lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed || cell karyotype: normal || cell lineage: mesoderm || cell sex: U || treatment: None || treatment description: No special treatment or protocol applies || antibody: Input || antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called. || control: IgG-mus || control description: Input signal from Normal Mouse IgG ChIP-seq. || control: IgG-mus || control description: Input signal from Normal Mouse IgG ChIP-seq. || controlid: wgEncodeEH000713 || labversion: Illumina 2.0, low confidence sequences excluded || replicate: 1	GM15510 -;- lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed -;- mesoderm	NA	Input	Input	NA	NA	Epstein-Barr Virus transformed -;- None -;- No special treatment or protocol applies	Epstein-Barr Virus transformed -;- None
