"ID";"fileName";"fileNamePE";"experiment";"tissue";"condition";"replicate";"lane";"merge";"input";"pairedEnd";"macsGroup";"phredScore";"adapter";"trimQuality";"adapterPE";"trimQualityPE"
"SRR501917";"";"";"SRP007993";"GM19099 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM19099_TNFa_NFKB_IgG-rab";"";2;"SRX150353";NA;"false";"";"";"";"";"";""
"SRR501918";"";"";"SRP007993";"GM19099 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM19099_TNFa_NFKB_IgG-rab";"";3;"SRX150353";NA;"false";"";"";"";"";"";""
"SRR501919";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_CEBPZ_IgG-rab";"";1;"SRX150354";NA;"false";"";"";"";"";"";""
"SRR501920";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_CEBPZ_IgG-rab";"";2;"SRX150354";NA;"false";"";"";"";"";"";""
"SRR501921";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_ARID3A_(NB100-279)_IgG-rab";"";1;"SRX150355";NA;"false";"";"";"";"";"";""
"SRR501922";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_ARID3A_(NB100-279)_IgG-rab";"";2;"SRX150355";NA;"false";"";"";"";"";"";""
"SRR501923";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_STAT3_IgG-rab";"";1;"SRX150356";NA;"false";"";"";"";"";"";""
"SRR501924";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_STAT3_IgG-rab";"";2;"SRX150356";NA;"false";"";"";"";"";"";""
"SRR501925";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_TBP_IgG-mus";"";1;"SRX150357";NA;"false";"";"";"";"";"";""
"SRR501926";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_TBP_IgG-mus";"";2;"SRX150357";NA;"false";"";"";"";"";"";""
"SRR501927";"";"";"SRP007993";"HUVEC -;- umbilical vein endothelial cells -;- mesoderm";"Stanford_ChipSeq_HUVEC_c-Jun_std";"";1;"SRX150358";NA;"false";"";"";"";"";"";""
"SRR501928";"";"";"SRP007993";"HUVEC -;- umbilical vein endothelial cells -;- mesoderm";"Stanford_ChipSeq_HUVEC_c-Jun_std";"";2;"SRX150358";NA;"false";"";"";"";"";"";""
"SRR501929";"";"";"SRP007993";"GM19193 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM19193_TNFa_NFKB_IgG-rab";"";1;"SRX150359";NA;"false";"";"";"";"";"";""
"SRR501930";"";"";"SRP007993";"GM19193 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM19193_TNFa_NFKB_IgG-rab";"";2;"SRX150359";NA;"false";"";"";"";"";"";""
"SRR501931";"";"";"SRP007993";"GM19193 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM19193_TNFa_NFKB_IgG-rab";"";3;"SRX150359";NA;"false";"";"";"";"";"";""
"SRR501932";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_TBP_IgG-rab";"";1;"SRX150360";NA;"false";"";"";"";"";"";""
"SRR501933";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_TBP_IgG-rab";"";2;"SRX150360";NA;"false";"";"";"";"";"";""
"SRR501934";"";"";"SRP007993";"GM18526 -;- lymphoblastoid, International HapMap Project, Han Chinese in Beijing, China, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18526_TNFa_NFKB_IgG-rab";"";1;"SRX150361";NA;"false";"";"";"";"";"";""
"SRR501935";"";"";"SRP007993";"GM18526 -;- lymphoblastoid, International HapMap Project, Han Chinese in Beijing, China, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18526_TNFa_NFKB_IgG-rab";"";2;"SRX150361";NA;"false";"";"";"";"";"";""
"SRR501936";"";"";"SRP007993";"GM18526 -;- lymphoblastoid, International HapMap Project, Han Chinese in Beijing, China, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18526_TNFa_NFKB_IgG-rab";"";3;"SRX150361";NA;"false";"";"";"";"";"";""
"SRR501937";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_TNFa_NFKB_IgG-rab";"";1;"SRX150362";NA;"false";"";"";"";"";"";""
"SRR501938";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_TNFa_NFKB_IgG-rab";"";2;"SRX150362";NA;"false";"";"";"";"";"";""
"SRR501939";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_TNFa_NFKB_IgG-rab";"";3;"SRX150362";NA;"false";"";"";"";"";"";""
"SRR501940";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_TNFa_NFKB_IgG-rab";"";4;"SRX150362";NA;"false";"";"";"";"";"";""
"SRR501941";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_TNFa_NFKB_IgG-rab";"";5;"SRX150362";NA;"false";"";"";"";"";"";""
"SRR501942";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_MAZ_(ab85725)_IgG-mus";"";1;"SRX150363";NA;"false";"";"";"";"";"";""
"SRR501943";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_MAZ_(ab85725)_IgG-mus";"";2;"SRX150363";NA;"false";"";"";"";"";"";""
"SRR501944";"";"";"SRP007993";"GM15510 -;- lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM15510_Input_IgG-mus";"";1;"SRX150364";NA;"false";"";"";"";"";"";""
"SRR501945";"";"";"SRP007993";"GM15510 -;- lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM15510_Input_IgG-mus";"";2;"SRX150364";NA;"false";"";"";"";"";"";""
"SRR501946";"";"";"SRP007993";"GM12892 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12892_TNFa_NFKB_IgG-rab";"";1;"SRX150365";NA;"false";"";"";"";"";"";""
"SRR501947";"";"";"SRP007993";"GM12892 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12892_TNFa_NFKB_IgG-rab";"";2;"SRX150365";NA;"false";"";"";"";"";"";""
"SRR501948";"";"";"SRP007993";"GM12892 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12892_TNFa_NFKB_IgG-rab";"";3;"SRX150365";NA;"false";"";"";"";"";"";""
"SRR501949";"";"";"SRP007993";"GM12892 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12892_Input_IgG-mus";"";1;"SRX150366";NA;"false";"";"";"";"";"";""
"SRR501950";"";"";"SRP007993";"GM12892 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12892_Input_IgG-mus";"";2;"SRX150366";NA;"false";"";"";"";"";"";""
"SRR501951";"";"";"SRP007993";"GM12891 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12891_Pol2_IgG-mus";"";1;"SRX150367";NA;"false";"";"";"";"";"";""
"SRR501952";"";"";"SRP007993";"GM12891 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12891_Pol2_IgG-mus";"";2;"SRX150367";NA;"false";"";"";"";"";"";""
"SRR501953";"";"";"SRP007993";"GM12891 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12891_Pol2_IgG-mus";"";3;"SRX150367";NA;"false";"";"";"";"";"";""
"SRR501954";"";"";"SRP007993";"GM12891 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12891_Pol2_IgG-mus";"";4;"SRX150367";NA;"false";"";"";"";"";"";""
"SRR501955";"";"";"SRP007993";"GM12891 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12891_Pol2_IgG-mus";"";5;"SRX150367";NA;"false";"";"";"";"";"";""
"SRR501956";"";"";"SRP007993";"GM12891 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12891_Pol2_IgG-mus";"";6;"SRX150367";NA;"false";"";"";"";"";"";""
"SRR501957";"";"";"SRP007993";"U2OS -;- osteosarcoma from the tibia of a 15 year old, J. Ponten and E. Saksela derived this line (originally 2T) in 1964 from a moderately differentiated sarcoma, viruses were not detected during co-cultivation with WI-38 cells or in CF tests against SV40, RSV or adenoviruses, mycoplasma contamination was detected and eliminated in 1972, (PMID: 6081590) -;- mesoderm";"USC_ChipSeq_U2OS_Input_UCDavis";"";1;NA;NA;"false";"";"";"";"";"";""
"SRR501958";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_SIN3A_(NB600-1263)_IgG-rab";"";1;"SRX150369";NA;"false";"";"";"";"";"";""
"SRR501959";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_SIN3A_(NB600-1263)_IgG-rab";"";2;"SRX150369";NA;"false";"";"";"";"";"";""
"SRR501960";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_MafK_(ab50322)_IgG-rab";"";1;"SRX150370";NA;"false";"";"";"";"";"";""
"SRR501961";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_MafK_(ab50322)_IgG-rab";"";2;"SRX150370";NA;"false";"";"";"";"";"";""
"SRR501962";"";"";"SRP007993";"GM15510 -;- lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM15510_Pol2_IgG-mus";"";1;"SRX150371";NA;"false";"";"";"";"";"";""
"SRR501963";"";"";"SRP007993";"GM15510 -;- lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM15510_Pol2_IgG-mus";"";2;"SRX150371";NA;"false";"";"";"";"";"";""
"SRR501964";"";"";"SRP007993";"GM15510 -;- lymphoblastoid NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM15510_Pol2_IgG-mus";"";3;"SRX150371";NA;"false";"";"";"";"";"";""
"SRR501965";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_MafK_(ab50322)_IgG-rab";"";1;"SRX150372";NA;"false";"";"";"";"";"";""
"SRR501966";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_MafK_(ab50322)_IgG-rab";"";2;"SRX150372";NA;"false";"";"";"";"";"";""
"SRR501967";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_Mxi1_(AF4185)_IgG-rab";"";1;"SRX150373";NA;"false";"";"";"";"";"";""
"SRR501968";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_Mxi1_(AF4185)_IgG-rab";"";2;"SRX150373";NA;"false";"";"";"";"";"";""
"SRR501969";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_p300_IgG-mus";"";1;"SRX150374";NA;"false";"";"";"";"";"";""
"SRR501970";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_p300_IgG-mus";"";2;"SRX150374";NA;"false";"";"";"";"";"";""
"SRR501971";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_CEBPB_IgG-rab";"";1;"SRX150375";NA;"false";"";"";"";"";"";""
"SRR501972";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_CEBPB_IgG-rab";"";2;"SRX150375";NA;"false";"";"";"";"";"";""
"SRR501973";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_CHD1_(A301-218A)_IgG-rab";"";1;"SRX150376";NA;"false";"";"";"";"";"";""
"SRR501974";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_CHD1_(A301-218A)_IgG-rab";"";2;"SRX150376";NA;"false";"";"";"";"";"";""
"SRR501975";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_CHD2_(AB68301)_IgG-rab";"";1;"SRX150377";NA;"false";"";"";"";"";"";""
"SRR501976";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_CHD2_(AB68301)_IgG-rab";"";2;"SRX150377";NA;"false";"";"";"";"";"";""
"SRR501977";"";"";"SRP007993";"A549 -;- epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), \"This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male.\" - ATCC, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_A549_Max_IgG-rab";"";1;"SRX150378";NA;"false";"";"";"";"";"";""
"SRR501978";"";"";"SRP007993";"A549 -;- epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), \"This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male.\" - ATCC, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_A549_Max_IgG-rab";"";2;"SRX150378";NA;"false";"";"";"";"";"";""
"SRR501979";"";"";"SRP007993";"A549 -;- epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), \"This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male.\" - ATCC, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_A549_Pol2(phosphoS2)_IgG-rab";"";1;"SRX150379";NA;"false";"";"";"";"";"";""
"SRR501980";"";"";"SRP007993";"A549 -;- epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), \"This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male.\" - ATCC, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_A549_Pol2(phosphoS2)_IgG-rab";"";2;"SRX150379";NA;"false";"";"";"";"";"";""
"SRR501981";"";"";"SRP007993";"A549 -;- epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), \"This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male.\" - ATCC, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_A549_Rad21_IgG-rab";"";1;"SRX150380";NA;"false";"";"";"";"";"";""
"SRR501982";"";"";"SRP007993";"A549 -;- epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), \"This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male.\" - ATCC, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_A549_Rad21_IgG-rab";"";2;"SRX150380";NA;"false";"";"";"";"";"";""
"SRR501983";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_CHD1_(A301-218A)_IgG-mus";"";1;"SRX150381";NA;"false";"";"";"";"";"";""
"SRR501984";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_CHD1_(A301-218A)_IgG-mus";"";2;"SRX150381";NA;"false";"";"";"";"";"";""
"SRR501985";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_GCN5_std";"";1;"SRX150382";NA;"false";"";"";"";"";"";""
"SRR501986";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_GCN5_std";"";2;"SRX150382";NA;"false";"";"";"";"";"";""
"SRR501987";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_TBP_IgG-rab";"";1;"SRX150383";NA;"false";"";"";"";"";"";""
"SRR501988";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_TBP_IgG-rab";"";2;"SRX150383";NA;"false";"";"";"";"";"";""
"SRR501989";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_RFX5_(200-401-194)_IgG-rab";"";1;"SRX150384";NA;"false";"";"";"";"";"";""
"SRR501990";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_RFX5_(200-401-194)_IgG-rab";"";2;"SRX150384";NA;"false";"";"";"";"";"";""
"SRR501991";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_MafK_(ab50322)_IgG-rab";"";1;"SRX150385";NA;"false";"";"";"";"";"";""
"SRR501992";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_MafK_(ab50322)_IgG-rab";"";2;"SRX150385";NA;"false";"";"";"";"";"";""
"SRR501993";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_MafF_(M8194)_IgG-rab";"";1;"SRX150386";NA;"false";"";"";"";"";"";""
"SRR501994";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_MafF_(M8194)_IgG-rab";"";2;"SRX150386";NA;"false";"";"";"";"";"";""
"SRR501995";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_CHD2_(AB68301)_IgG-rab";"";1;"SRX150387";NA;"false";"";"";"";"";"";""
"SRR501996";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_CHD2_(AB68301)_IgG-rab";"";2;"SRX150387";NA;"false";"";"";"";"";"";""
